"id";"district";"alt_names";"comments";"province";"typeEng";"TYPenATIVE";"Latitude";"Longitude";"precision";"xmax";"xmin";"ymax";"ymin"
"24697";"";\N;\N;"";"";"";\N;\N;\N;"14,7782372165024";"12,5320929358545";"59,2549594519558";"57,7914078771637"
"24698";"";\N;\N;"Blekinge";"";"";\N;\N;\N;\N;\N;\N;\N
"16440";"Asarum";\N;"Karlshamns stad bröts ur socknen 1664 (Wikipedia). Ringamålla utbröts ur sockenen? Härad: Bräkne";"Blekinge";"parish";"socken";"56,23612";"14,83434";"11334";"14,92976";"14,73196";"56,3142";"56,14285"
"16441";"Aspö";\N;"1 maj 1888 bildades denna socken genom en utbrytning ur Nättraby socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,11156";"15,54052";"3977";"15,58594";"15,50209";"56,14079";"56,08525"
"16442";"Augerum";\N;"År 1680 utbröts Karlskrona stad ur socknen (Wikipedia). Första maj 1888 utbröts Tjurkö socken (Wikipedia). Flymen?";"Blekinge";"parish";"socken";"56,30975";"15,73605";"18179";"15,83531";"15,61829";"56,41819";"56,19058"
"16443";"Backaryd";\N;"Församlingen bildades 1640 genom en utbrytning ur Ronneby församling (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,39116";"15,15639";"9450";"15,25912";"15,04953";"56,45502";"56,31779"
"16444";"Bräkne-Hoby";"Hoby";"Före 17 april 1885 var namnet på socknen Hoby socken. (Wikipedia). Ur socknen utbröts 4 maj 1859 Öljehults socken (Wikipedia). Härad: Bräkne";"Blekinge";"parish";"socken";"56,24762";"15,10818";"15841";"15,20328";"15,01201";"56,36108";"56,1213"
"16445";"Edestad";\N;"Härad: Medelstad";"Blekinge";"parish";"socken";"56,22437";"15,34777";"14412";"15,38548";"15,30706";"56,27643";"56,17795"
"16446";"Elleholm";\N;"Härad: Lister";"Blekinge";"parish";"socken";"56,15726";"14,73829";"3397";"14,76619";"14,70621";"56,18348";"56,14208"
"16447";"Eringsboda";\N;"Socknen bildades 1870 genom en utbrytning ur Tvings socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,44067";"15,34479";"10099";"15,50728";"15,20488";"56,50024";"56,3766"
"16448";"Fridlevstad";"Fridlefstad";"1 maj 1846 utbröts Sillhövda socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,30521";"15,54318";"13569";"15,62097";"15,46639";"56,38197";"56,23448"
"16449";"Förkärla";\N;"1 maj 1888 utbröts Hasslö socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,17547";"15,46392";"7512";"15,52434";"15,41321";"56,24204";"56,12354"
"16450";"Gammalstorp";\N;"1877 utbröts hemmanen Nr 9 Äskemo och Nr 10 Skörsemo till Mörrums socken (Wikipedia). Härad: Lister";"Blekinge";"parish";"socken";"56,14808";"14,61664";"7266";"14,66584";"14,5752";"56,20835";"56,08286"
"16451";"Hasslö";\N;"1 maj 1888 bildades denna socken genom en utbrytning ur Förkärla socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,10115";"15,4604";"4927";"15,52251";"15,41317";"56,13418";"56,08238"
"16452";"Hjortsberga";\N;"Härad: Medelstad";"Blekinge";"parish";"socken";"56,2751";"15,39344";"10999";"15,48848";"15,21733";"56,3631";"56,11734"
"16453";"Hällaryd";"Hellaryd";"Härad: Bräkne";"Blekinge";"parish";"socken";"56,21394";"14,95099";"14709";"15,02842";"14,89057";"56,34475";"56,10576"
"16454";"Jämjö";"Jemjö";\N;"Blekinge";"parish";"socken";"56,21856";"15,87188";"9533";"15,98868";"15,79446";"56,3039";"56,14165"
"16455";"Jämshög";"Jemshög, Olofström";"Olofströms köping bildades 1941 genom en utbrytning ur Jämshögs landskommun (Wikipedia). Olofström räknas här som en del av Jämshög socken. Härad: Lister";"Blekinge";"parish";"socken";"56,26964";"14,55886";"13710";"14,74719";"14,39058";"56,36128";"56,19116"
"16456";"Karlshamn";"Bodekull, Bokull";"Var en Köpng / Stad med eget borgligt styre separat från Asarums scoken 1664. Så det är inte en socken men inte en del av Asarum. Botaniker har ofta räknat Köpingar som en del av socknen.";"Blekinge";"town/borough";"stad";"56,15837";"14,86326";"4004";"14,91116";"14,81319";"56,1908";"56,13023"
"16457";"Karlskrona";"Carlscrona, Carlskrona";"Karlskrona stad bröts 1680 ut ur Augerums socken (Wikipedia)";"Blekinge";"town/borough";"stad";"56,1707";"15,59364";"10816";"15,64509";"15,52434";"56,22306";"56,12819"
"16458";"Kristianopel";"Christianopel";"Kristianopel fick stadsprivilegier 1622 (Wikipedia)";"Blekinge";"town/borough";"stad";"56,26841";"16,00265";"14291";"16,08402";"15,84233";"56,32255";"56,18863"
"16459";"Kyrkhult";\N;"Socknen bildades som en utbrytning ur Jämshögs socken där Kyrkhults församling bildades 1865 (Wikipedia). Härad: Lister";"Blekinge";"parish";"socken";"56,36929";"14,56752";"13610";"14,74192";"14,4124";"56,46004";"56,28668"
"16460";"Listerby";\N;"Härad: Medelstad";"Blekinge";"parish";"socken";"56,14493";"15,36684";"14362";"15,44013";"15,2659";"56,27383";"56,08409"
"16461";"Lösen";\N;"1743 införlivades Lyckeby socken med Lösen. (Wikipedia). 1851 överfördes hemmanen 49-50 Sanda från Lösens socken till Sturkö socken.(Wikipedia)";"Blekinge";"parish";"socken";"56,19327";"15,69354";"14332";"15,81214";"15,62072";"56,30486";"56,1363"
"16462";"Mjällby";"Mjellby, Mellby, Lister-Mjällby";"Härad: Lister";"Blekinge";"parish";"socken";"56,03604";"14,68635";"11513";"14,86428";"14,57007";"56,10467";"55,98494"
"16463";"Mörrum";\N;"Härad: Lister";"Blekinge";"parish";"socken";"56,20337";"14,72602";"6827";"14,80493";"14,64884";"56,2601";"56,14453"
"16464";"Nättraby";"Nätraby";"1 maj 1888 utbröts Aspö socken (Wikipdeida). Härad: Medelstad";"Blekinge";"parish";"socken";"56,20285";"15,53645";"12243";"15,61495";"15,47334";"56,24328";"56,14079"
"16465";"Ramdala";\N;"Härad: Östra härad";"Blekinge";"parish";"socken";"56,19966";"15,77685";"14465";"15,86993";"15,67746";"56,32526";"56,09698"
"16466";"Ringamåla";\N;"Socknen bildades genom en utbrytning ur Asarums socken (Wikipedia). Härad: Bräkne";"Blekinge";"parish";"socken";"56,33849";"14,81321";"10413";"14,9534";"14,67114";"56,39399";"56,28376"
"16467";"Ronneby";\N;"Det finns också Ronneby stad/köping som här räknas här som en del av socknen. Härad: Medelstad ";"Blekinge";"parish";"socken";"56,24794";"15,24992";"17505";"15,35717";"15,13581";"56,40521";"56,13086"
"16468";"Rödeby";\N;"Härad: Östra";"Blekinge";"parish";"socken";"56,32325";"15,65343";"13157";"15,7327";"15,57695";"56,4412";"56,22112"
"16469";"Sillhövda";"Sillhöfda";"Socknen bildades 1 maj 1846 genom en utbrytning ur Fridlevstads socken (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,43652";"15,56612";"8247";"15,6666";"15,46805";"56,50344";"56,36824"
