"fid";"name";"härad";"kommun";"län";"alternative_names";"comments";"type_swedish";"border_changes";"floraprovins";"type_english";"origin";"VUnique";"North";"NorthWGS84";"north_maxWGS84";"north_minWGS84";"east_minWGS84";"east_maxWGS84";"East";"eastWGS84";"eastRT90";"northRT90";"east_minCircle";"north_minCircle";"distCentroid";"distMinCircle";"EastMiniCircle";"NorthMinCircle"
"1";"Gällinge";"Fjäre";"Kungsbacka";"Hallands län";"Gellinge";"";"socken";"";"Halland";"parish";"medeltida";"Gällinge--Halland";"6363787";"57.3871039247818";"57.4311174348325";"57.354565905447";"12.2142637466544";"12.3201850904277";"335510";"12.2633452122315";"1287048";"6367941";"335896";"6364135";"4907";"4577";"12.267271293156";"57.3853609344097"
"2";"Gällared";"Faurås";"Falkenberg";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Gällared--Halland";"6332221";"57.1143991217617";"57.1758155428356";"57.0547248316748";"12.7347463328861";"12.9089091821364";"368203";"12.8235356383404";"1319384";"6335970";"367085";"6332356";"7052";"6853";"12.8218166214024";"57.1188234450344"
"3";"Lillhärad";"Tuhundra";"Västerås";"Västmanlands län";"";"";"socken";"1889 - Slagårda 2 hörde enligt jordeboken till Skultuna i Norrbo. Hemmanen flyttades i jordeboken till Lillhärad genom kungligt brev 22/3 1889 (Lagerstedt, 1973)
1932 - Lillhärads pastorat i Tuhundra och Skerike pastorat i Norrbo förenades med Skulltuna pastorat i Norrbo till Skultuna, Lillhärads och Skerikes pastorat genom kungligt brev 15/7 1932 (Lagerstedt, 1973)
1952 - Lillhärads landskommun upgick i Dingtuna landskommun (Wikipedia)
1967 - Dingtuna landskommun uppgick i Västerås stad (Wikipedia)";"Västmanland";"parish";"medeltida";"Lillhärad--Västmanland";"6614330";"59.6602077984624";"59.7033696862855";"59.6090694097919";"16.2636721365376";"16.4081511710674";"575457";"16.3391468305747";"1530103";"6615705";"575371";"6613749";"5916";"5390";"16.3359116538025";"59.6609357503876"
"4";"Gunnarsjö";"Mark";"Varberg";"Hallands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Gunnarsjö--Västergötland";"6352767";"57.296508453306";"57.3414156389161";"57.251551931717";"12.6174824451178";"12.7636125428774";"360415";"12.6834995962511";"1311836";"6356619";"360892";"6352879";"5657";"5332";"12.6905474939976";"57.2879851343019"
"5";"Köping";"Åkerbo";"Köping";"Västmanlands län";"Åkerbo";"Köpings stad räknas här som en del av Köpings socken.



";"stad";"1888 - Källsta 1/4 flyttades i alla avsenden från Odensvi i Åkerbo till Köpings socken i samma härad genom kungligt brev 12/10 1888. (Lagerstedt, 1973)
1919 - Hela Åkerbo socken införlivades med staden i övriga avseneden genom kungligt brev 25/1 1918 och kyrkligt avsende genom kungligt brev 1/10 1919 (Lagerstedt, 1973).
1919 - en mindre del överfördes till Kungs-Barkarö socken (Wikipedia)
1947 - Genom kungligt brev 28/3 1947 flyttades vissa områden om ca 3,5^2 i alla avsenden från Munktorps kommun och församling till Köpings stad och församling (Lagerstedt, 1973)
";"Västmanland";"town/borough";"medeltida
1474 utbröts Köpings stad (Wikipedia)";"Köping--Västmanland";"6598029";"59.5169463549791";"59.5603509869106";"59.4688328953677";"15.8911654493503";"16.0676618938202";"555793";"15.9859607166457";"1510236";"6599639";"555958";"6598079";"5755";"5606";"15.9795481253777";"59.5327663852319"
"6";"Gunnarp";"Faurås";"Falkenberg";"Hallands län";"";"";"socken";"1888 - Ekängen 1 och Hult 1/2 hörde enligt jordeboken till Mårdaklevs socken, flyttades till Gunnarp i Hallands län även i jordeboken genom kungligt brev 2/11 1888 (Lagerstedt, 1973)";"Halland";"parish";"medeltida";"Gunnarp--Halland";"6335266";"57.1441525293035";"57.2078961329461";"57.0934920629186";"12.8092394584351";"13.1002860456467";"377011";"12.9673244834283";"1328233";"6338912";"375940";"6335244";"10433";"9486";"12.954097327455";"57.1546149965222"
"7";"Kärrbo";"Siende";"Västerås";"Västmanlands län";"";"Kärrbo i Siende var annex till Kungsåra i samma härad 1802-1853 (Lagerstedt, 1973)";"socken";"";"Västmanland";"parish";"";"Kärrbo--Västmanland";"6601009";"59.5358188782952";"59.591089882552";"59.4877189561269";"16.6530045929576";"16.8269068460919";"598542";"16.7425053092311";"1553033";"6602100";"598022";"6601236";"6226";"6089";"16.7399557195248";"59.5482373335639"
"8";"Grimmared";"Mark";"Varberg";"Hallands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Grimmared--Västergötland";"6348097";"57.2504019145348";"57.2869059711904";"57.2160212276368";"12.4099342783021";"12.5169788347307";"347303";"12.4690190575456";"1298661";"6352102";"347479";"6348330";"4353";"4069";"12.4641051653435";"57.2549569987546"
"9";"Kungsåra";"Siende";"Västerås";"Västmanlands län";"";"Kärrbo i Siende var annex till Kungsåra i samma härad 1802-1853 (Lagerstedt, 1973)";"socken";"1967 - Kungsåra landskommun uppgick i Västerås stad (Wikipedia)";"Västmanland";"parish";"medeltida";"Kungsåra--Västmanland";"6608447";"59.6018455684393";"59.6353210920691";"59.5646319668494";"16.7371934369721";"16.860396357747";"601599";"16.8000492409138";"1556181";"6609503";"601570";"6607663";"5292";"4752";"16.7991167822671";"59.5947955009763"
"10";"Överjärna";"Öknebo";"Södertälje";"Stockholms län";"Över-Järna, Järna, Jerna, Över-Jerna, Öfver-Jerna, Öfverjerna";"";"socken";"1927 - Gåsbiten 1/4 och Norrbyvälle 1/8 flyttades i alla avsenden från Ytterjärna till Överjärna genom kungligt brev 25/11 1927 (Lagerstedt, 1973)
1952 - Överjärna landskommun uppgick i Järna landskommun (Wikipedia)";"Södermanland";"parish";"medeltida";"Överjärna--Södermanland";"6553255";"59.0941980661383";"59.1369400934934";"59.0573733400311";"17.4205127593967";"17.6067695236054";"644081";"17.5150746745891";"1598004";"6553784";"644130";"6553477";"5746";"5638";"17.5136411415011";"59.0923854215017"
